Player,Team,Price
Vezenkov Sasha,OLY,21.2
Bryant Elijah,HTA,18.2
Francisco Sylvain,ZAL,18.2
Milutinov Nikola,OLY,17.6
James Mike,ASM,17.5
Moneke Chima,CZT,16.6
Kabengele Mfiondu,DUB,16.2
Nunn Kendrick,PAO,16.0
Tavares Walter,RMB,15.7
Shengelia Tornike,FCB,15.3
Baldwin IV Wade,FNB,14.8
Wright IV McKinley,DUB,14.8
Wright Moses,ZAL,14.8
Hoard Jaylen,MAC,14.8
Oturu Dan,HTA,14.7
Montero Jean,VAL,14.6
Horton Tucker Talen,FNB,14.3
Hifi Nadir,PRS,14.3
Leday Zach,MIL,14.3
Petrusev Filip,DUB,14.1
Hayes-Davis Nigel,PAO,13.9
Campazzo Facundo,RMB,13.8
Jones Tyrique,OLY,13.5
Punter Kevin,FCB,13.5
Bacon Dwayne,DUB,13.4
Miller-McIntyre Codi,CZT,13.4
Sorkin Roman,MAC,13.3
Lyles Trey,RMB,13.3
Nebo Josh,MIL,13.0
Bonga Isaac,PAR,12.9
Hernangomez Juancho,PAO,12.9
Nwora Jordan,CZT,12.9
Hezonja Mario,RMB,12.7
Jones Carlik,PAR,12.6
Mirotic Nikola,ASM,12.6
Robinson Justin,PRS,12.6
Diallo Alpha,ASM,12.5
Taylor Kameron,VAL,12.4
Luwawu-Cabarrot Timothe,BKN,12.4
Clyburn Will,FCB,12.3
De Colo Nando,FNB,12.3
Musa Dzanan,DUB,12.3
Walker IV Lonnie,MAC,12.1
Dorsey Tyler,OLY,12.1
Larkin Shane,EFS,11.9
Lessort Mathias,PAO,11.9
Shields Shavon,MIL,11.9
Sloukas Kostas,PAO,11.8
Theis Daniel,ASM,11.7
Guduric Marko,MIL,11.6
Micic Vasilije,HTA,11.6
Edwards Carsen,VIR,11.3
Hall Donta,OLY,11.3
Osman Cedi,PAO,11.3
Watson Glynn,ASV,11.2
Leaf TJ,MAC,11.2
Maledon Theo,RMB,11.2
Angola Braian,ASV,11.1
Tubelis Azuolas,ZAL,11.0
Butler Jared,CZT,11.0
Obst Andreas,BAY,10.7
Okobo Elie,ASM,10.7
Forrest Trent,BKN,10.6
Jones Chris,HTA,10.5
Williams-Goss Nigel,ZAL,10.4
Motley Johnathan,HTA,10.4
Morgan Matthew,VIR,10.3
Brown Sterling,PAR,10.2
Omoruyi Eugene,BKN,10.2
Satoransky Tomas,FCB,10.2
Payne Cameron,PAR,10.1
Brissett Oshae,MAC,10.0
Thompson Darius,VAL,9.9
Weiler-Babb Nick,EFS,9.9
Diakite Mamadi,BKN,9.9
Edwards Kessler,HTA,9.9
Blossomgame Jaron,ASM,9.8
Bolomboy Joel,CZT,9.8
Fernando Bruno,PAR,9.8
Dimitrijevic Neno,BAY,9.8
Poirier Vincent,EFS,9.7
Pradilla Jaime,VAL,9.7
Vildoza Luca,VIR,9.6
Simmons Kobi,BKN,9.6
Ellis Quinn,MIL,9.6
Izundu Ebuka,CZT,9.5
Lucic Vladimir,BAY,9.5
Okeke Chuma,RMB,9.5
Reuvers Nathan,VAL,9.5
Rhoden Jared,PRS,9.4
Holmes Richaun,PAO,9.4
Jokubaitis Rokas,BAY,9.4
Blatt Tamir,MAC,9.3
Bolmaro Leandro,MIL,9.3
Brooks Armoni,MIL,9.3
Evans Keenan,OLY,9.3
Melli Nicolo,FNB,9.3
Blakeney Antonio,HTA,9.2
